City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Esperance,AU,2022-03-27 01:46:43,-33.8667,121.9,66.04,83,100,17.58
1,Kavaratti,IN,2022-03-27 01:46:43,10.5669,72.642,82.27,70,11,2.93
2,Hamilton,US,2022-03-27 01:46:44,39.1834,-84.5333,33.75,65,40,16.11
3,Coquimbo,CL,2022-03-27 01:45:33,-29.9533,-71.3436,62.26,83,4,2.21
4,Albany,US,2022-03-27 01:42:29,42.6001,-73.9662,39.25,91,90,5.64
5,Busselton,AU,2022-03-27 01:46:44,-33.65,115.3333,68.52,60,46,20.54
6,Jamestown,US,2022-03-27 01:45:42,42.097,-79.2353,31.59,71,100,12.66
7,Barrow,US,2022-03-27 01:42:28,71.2906,-156.7887,1.42,78,20,19.57
8,Yulara,AU,2022-03-27 01:46:45,-25.2406,130.9889,82.24,17,3,11.5
9,Saskylakh,RU,2022-03-27 01:46:45,71.9167,114.0833,-15.99,100,100,4.14
10,Waipawa,NZ,2022-03-27 01:46:46,-41.4122,175.5153,57.11,80,97,12.86
11,Sterling,US,2022-03-27 01:43:59,39.0062,-77.4286,43.59,55,40,18.41
12,Punta Arenas,CL,2022-03-27 01:46:46,-53.15,-70.9167,46.11,93,100,9.89
13,Avarua,CK,2022-03-27 01:46:47,-21.2078,-159.775,80.65,83,75,8.05
14,Alofi,NU,2022-03-27 01:46:47,-19.0595,-169.9187,82.29,83,94,10.36
15,Moramanga,MG,2022-03-27 01:46:48,-18.9333,48.2,66.31,98,89,1.12
16,Rikitea,PF,2022-03-27 01:46:48,-23.1203,-134.9692,79.63,70,0,12.64
17,Murakami,JP,2022-03-27 01:46:49,38.2333,139.4833,49.89,80,100,8.63
18,Port Alfred,ZA,2022-03-27 01:46:49,-33.5906,26.891,65.17,90,42,8.57
19,Bousso,TD,2022-03-27 01:46:49,10.4795,16.7117,80.26,11,92,10.56
20,Severo-Kurilsk,RU,2022-03-27 01:46:50,50.6789,156.125,32.92,98,100,26.31
21,Darnah,LY,2022-03-27 01:46:50,32.767,22.6367,55.96,51,0,3.76
22,Bethel,US,2022-03-27 01:46:51,41.3712,-73.414,41.85,87,100,5.75
23,Port Elizabeth,ZA,2022-03-27 01:46:51,-33.918,25.5701,62.89,92,20,2.3
24,Tura,IN,2022-03-27 01:46:51,25.5198,90.2201,77.04,65,0,2.53
25,Vila Velha,BR,2022-03-27 01:44:15,-20.3297,-40.2925,78.94,85,20,9.22
26,Kapaa,US,2022-03-27 01:46:52,22.0752,-159.319,82.38,62,0,17.27
27,Castro,BR,2022-03-27 01:45:59,-24.7911,-50.0119,61.9,97,63,3.89
28,Garowe,SO,2022-03-27 01:46:53,8.4054,48.4845,67.77,60,4,1.61
29,Lebu,CL,2022-03-27 01:46:53,-37.6167,-73.65,54.79,90,1,2.3
30,Wanaka,NZ,2022-03-27 01:44:03,-44.7,169.15,69.12,52,0,1.99
31,Atar,MR,2022-03-27 01:46:53,20.5169,-13.0499,69.46,15,7,4.34
32,Labuhan,ID,2022-03-27 01:46:54,-6.8844,112.2051,82.65,70,69,4.61
33,Thinadhoo,MV,2022-03-27 01:46:54,0.5333,72.9333,81.52,69,0,7.74
34,Ankeny,US,2022-03-27 01:46:55,41.7297,-93.6058,35.33,50,0,12.66
35,Tromso,NO,2022-03-27 01:46:55,69.6496,18.957,20.37,93,20,1.14
36,Beloha,MG,2022-03-27 01:46:56,-25.1667,45.05,70.43,96,94,6.55
37,Mossoro,BR,2022-03-27 01:46:56,-5.1875,-37.3442,75.81,90,100,5.84
38,Padang,ID,2022-03-27 01:46:56,-0.9492,100.3543,82.45,64,4,3.13
39,Saint-Philippe,RE,2022-03-27 01:46:57,-21.3585,55.7679,75.22,82,12,9.08
40,Taoudenni,ML,2022-03-27 01:46:57,22.6783,-3.9836,79.36,15,79,7.72
41,Cabo San Lucas,MX,2022-03-27 01:46:58,22.8909,-109.9124,81.7,54,2,8.66
42,Tucurui,BR,2022-03-27 01:46:58,-3.7661,-49.6725,73.99,97,100,3.44
43,Bozeman,US,2022-03-27 01:42:15,45.6796,-111.0386,56.68,40,0,14.0
44,Sept-Iles,CA,2022-03-27 01:43:19,50.2001,-66.3821,31.05,96,100,6.91
45,Igra,RU,2022-03-27 01:47:59,57.5558,53.0547,30.58,95,100,14.47
46,Bandarbeyla,SO,2022-03-27 01:47:59,9.4942,50.8122,74.19,68,14,5.7
47,Mahebourg,MU,2022-03-27 01:47:12,-20.4081,57.7,79.25,94,75,0.0
48,Hermanus,ZA,2022-03-27 01:44:53,-34.4187,19.2345,63.81,84,5,12.35
49,Keetmanshoop,NA,2022-03-27 01:48:00,-26.5833,18.1333,68.92,30,40,1.14
